sep=;
"NUME FISIER";"ID PACHET";"PUID";"MIMETYPE";"STATUS";"DIMENSIUNE BYTES";"HASH SHA256";"UUID";"ACȚIUNI PREMIS"
"CJ-FD-00001-A-2-01-026_0001.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4432424";"5fe8921a4e020243f15aa8571a3d7b1ba657bad8ac407fed1da15e39a4b87fb8";"53e5b650-a777-4b0c-a6a2-a82da27d0573";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-026_0002.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4489844";"b6eb207893a83f3088788477bc66f1ce6aecd768f066b06dea6cc92065b5a0a3";"0ad542b7-5403-46ec-bfee-2e8c3874f832";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-025_0004.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4350215";"ecd4c300c2371583228d8f66dfbdbe8aeb94a785b72c86671dbee2a90c58dfea";"4cd9fa25-f4c4-46f2-9b21-83baaae7550b";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-026_0003.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4492300";"72e4ac00e68894426e6082252ebdbaf09fced156b6100bdb4bacd088df645fe3";"ef6e2361-bfa1-4dbc-a100-213933395024";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-026_0004.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4506703";"2c39319d3291cf11705da373114a07c6a3ff6b646ab8a06b16709cb097d8c645";"342e1a81-2d78-4f71-b0ff-bf982462b5c8";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-025_0002.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4537334";"56543b166195063ab9dc84fa6e54fd4243b205def0d7aa8dcdf811985a84c192";"b1a20841-a354-4a6c-a58e-b56957a1f54c";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-025_0003.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4427171";"52bf7e538b83c4b05537c04a94b5204d470efa815e1fc3c6b6cbb32d53b0c10a";"f676640d-b4d8-4149-92b3-30a94fafb6c4";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-2-01-025_0001.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4516748";"61b0d9ff7c547c0f9fc72982f2635b56be4a362583eb401ecf450d99b3a794e2";"92e405fa-be41-48fe-82bd-272711a9bce5";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-1-002_0004.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4514984";"c32a8b68383bd376b31abe66bb7322e1800a9f616c43e81b5cc09c7f707f1c4c";"67d511e8-1f7b-4366-8379-8c22f2b84b77";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-1-002_0003.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"4601447";"1883e00ce5db7395cd5039e6be0de1e27dac9f55b33385a02bda69c9511f7100";"d5261140-a58d-4857-b668-88832b7e1e45";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-1-001_0002.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"7928912";"897cd8dc7c72f71f7e9eb9b99e56be1c8455582139f1a085686399d27169898e";"8033e10c-81b3-411d-9555-34d43a29144e";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-1-001_0003.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"7487157";"05092adecaa408bf32b866568c50fb00ed7124e0c7665a773f8a3e68027a8843";"85963b02-36ef-4d10-94d5-771ef1741aef";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-1-002_0002.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"2739459";"eb19cbeffed7c0181ed545fb9fef899d3f76b02b2f7a712d8448e1905ba6763b";"611df79b-493c-4143-9b69-912baeda345f";"📜 Evenimente PREMIS"
"CJ-FD-00001-A-1-002_0001.jpg";"CJ-FD-00001-2026.08.29";"fmt/43";"image/jpeg";"integritate_ok";"6804190";"38f017835156ff4c3cb8b1924cf5fd20d1b0ce21b8e2bfcc0b3354798bf680d7";"39825d98-520c-461f-b5a5-fd0aa467c552";"📜 Evenimente PREMIS"
